fips,stusps,year,RTC,violent_rate
15,HI,2000,Inf,243.82247782773584
15,HI,2001,Inf,254.02923527267012
15,HI,2002,Inf,262.92389165353023
15,HI,2003,Inf,272.271205567319
15,HI,2004,Inf,254.57090224657532
15,HI,2005,Inf,255.4823395143527
15,HI,2006,Inf,280.6694008706521
15,HI,2007,Inf,276.1440266951615
15,HI,2008,Inf,272.47368427276103
15,HI,2009,Inf,274.0935854138338
15,HI,2010,Inf,264.27371339011694
15,HI,2011,Inf,251.42780134999353
15,HI,2012,Inf,243.00581773952962
15,HI,2013,Inf,254.4381374596618
15,HI,2014,Inf,236.7177257192112
16,ID,1977,1990,236.87286789592287
16,ID,1978,1990,236.44652774672915
16,ID,1979,1990,288.72932964092746
16,ID,1980,1990,313.36475355970674
16,ID,1981,1990,283.3159132542178
16,ID,1982,1990,259.1709712650376
16,ID,1983,1990,238.7260176079092
16,ID,1984,1990,235.2647508071765
16,ID,1985,1990,234.82585218027583
16,ID,1986,1990,222.5323955657843
16,ID,1987,1990,214.22846057273117
16,ID,1988,1990,234.73472328174407
16,ID,1989,1990,254.635125056132
16,ID,1990,1990,275.7390260725359
16,ID,1991,1990,290.27917269728977
16,ID,1992,1990,281.4433550509179
16,ID,1993,1990,281.8016355742912
16,ID,1994,1990,285.7899856122315
16,ID,1995,1990,322.01208044063867
16,ID,1996,1990,267.19936157316437
16,ID,1997,1990,256.77681488393586
16,ID,1998,1990,282.1806891512396
16,ID,1999,1990,244.94689020041548
16,ID,2000,1990,252.48216159216872
16,ID,2001,1990,243.14977612450386
16,ID,2002,1990,254.55585047223596
16,ID,2003,1990,245.93384576404713
16,ID,2004,1990,247.43041210738116
16,ID,2005,1990,256.75698025230906
16,ID,2006,1990,249.98893681011774
16,ID,2007,1990,256.16876067349494
16,ID,2008,1990,241.49893028959264
16,ID,2009,1990,246.15065696852955
16,ID,2010,1990,220.48216405560262
16,ID,2011,1990,202.1791192926919
16,ID,2012,1990,209.82831205830786
16,ID,2013,1990,215.2100345556837
16,ID,2014,1990,210.36137502310623
17,IL,1977,2014,630.5914159210138
17,IL,1978,2014,676.7232894122997
17,IL,1979,2014,743.9002887171404
17,IL,1980,2014,808.036136575742
17,IL,1981,2014,792.5010150898541
17,IL,1982,2014,774.3188486681055
17,IL,1983,2014,728.0951136028889
17,IL,1984,2014,724.880720756728
17,IL,1985,2014,714.7636053582004
17,IL,1986,2014,810.3184129234602
17,IL,1987,2014,796.200892872083
17,IL,1988,2014,810.4382026549423
17,IL,1989,2014,845.8654124480934
17,IL,1990,2014,967.3592080151541
17,IL,1991,2014,1039.2010994633297
17,IL,1992,2014,977.2502268621074
17,IL,1993,2014,959.7332197342488
17,IL,1994,2014,960.9256452336379
17,IL,1995,2014,996.0777163959647
17,IL,1996,2014,890.3690058770492
17,IL,1997,2014,861.4322580252706
17,IL,1998,2014,807.7294946568396
17,IL,1999,2014,689.4662578735164
17,IL,2000,2014,653.7893631687867
17,IL,2001,2014,633.1355558147742
17,IL,2002,2014,601.909382693257
17,IL,2003,2014,556.372124394473
17,IL,2004,2014,545.664770721074
17,IL,2005,2014,552.2417065290192
17,IL,2006,2014,541.6004131036171
17,IL,2007,2014,533.1861339282694
17,IL,2008,2014,525.3628188953127
17,IL,2009,2014,497.15691313895996
17,IL,2010,2014,444.8846507528379
17,IL,2011,2014,423.9816799282268
17,IL,2012,2014,416.18895412356574
17,IL,2013,2014,403.05480760813947
17,IL,2014,2014,370.86080275927526
19,IA,1977,2011,143.97357338242637
19,IA,1978,2011,161.39506063747834
19,IA,1979,2011,181.1574548704279
19,IA,1980,2011,200.35738777032543
19,IA,1981,2011,204.17672932496933
19,IA,1982,2011,172.73665469737003
19,IA,1983,2011,181.1359468784155
19,IA,1984,2011,198.65974787052943
19,IA,1985,2011,211.71980162526734
19,IA,1986,2011,235.11043766341876
19,IA,1987,2011,231.22799097311471
19,IA,1988,2011,256.84551331981555
19,IA,1989,2011,266.302879045245
19,IA,1990,2011,299.66632945507456
19,IA,1991,2011,303.2915335820608
19,IA,1992,2011,277.9516362676762
19,IA,1993,2011,325.4797523076403
19,IA,1994,2011,315.09370880519276
19,IA,1995,2011,354.3631474161792
19,IA,1996,2011,272.47550323691456
19,IA,1997,2011,309.993042685878
19,IA,1998,2011,311.53043552502453
19,IA,1999,2011,279.9875452702341
19,IA,2000,2011,266.40931215316573
19,IA,2001,2011,268.2498829898294
19,IA,2002,2011,285.71041192610727
19,IA,2003,2011,277.87451004719264
19,IA,2004,2011,287.81838505372417
19,IA,2005,2011,293.2702815546871
19,IA,2006,2011,285.7397044559083
19,IA,2007,2011,300.1962123962004
19,IA,2008,2011,288.12130130179474
19,IA,2009,2011,282.0945875777
19,IA,2010,2011,268.53963102471175
19,IA,2011,2011,257.2698666908141
19,IA,2012,2011,265.59006270296555
19,IA,2013,2011,273.02942223732197
19,IA,2014,2011,272.84292287053705
20,KS,1977,2007,309.802270695029
20,KS,1978,2007,318.18571794992215
20,KS,1979,2007,353.56682645136755
20,KS,1980,2007,389.3352597132013
20,KS,1981,2007,369.4246419310598
20,KS,1982,2007,335.88045057809666
20,KS,1983,2007,326.5567617139491
20,KS,1984,2007,334.16743506367595
20,KS,1985,2007,355.7551746429494
20,KS,1986,2007,368.79313674121784
20,KS,1987,2007,360.7430567552788
20,KS,1988,2007,365.21909600475806
20,KS,1989,2007,400.83574547454776
20,KS,1990,2007,447.73639476451535
20,KS,1991,2007,499.5991876971871
20,KS,1992,2007,510.82046136643527
20,KS,1993,2007,496.4045712316368
20,KS,1994,2007,442.99133287199635
20,KS,1995,2007,420.74080669665904
20,KS,1996,2007,413.7635935823212
20,KS,1997,2007,429.7109338415717
20,KS,1998,2007,417.34496563406384
20,KS,1999,2007,382.7731559455099
20,KS,2000,2007,389.4483366878019
20,KS,2001,2007,403.7193765511188
20,KS,2002,2007,377.2077140734977
20,KS,2003,2007,397.49914204961874
20,KS,2004,2007,377.8765108898914
20,KS,2005,2007,389.3861310045414
20,KS,2006,2007,432.6945793934168
20,KS,2007,2007,458.5740817844304
20,KS,2008,2007,412.3285756411337
20,KS,2009,2007,406.56365011908156
20,KS,2010,2007,370.8104067235141
20,KS,2011,2007,355.66646540398716
20,KS,2012,2007,356.69263582761363
20,KS,2013,2007,342.8412111885073
20,KS,2014,2007,352.62614647057455
21,KY,1977,1996,233.57431005888893
21,KY,1978,1996,223.1846633448032
21,KY,1979,1996,248.0294329819435
21,KY,1980,1996,266.6773613216587
21,KY,1981,1996,289.5110137415084
21,KY,1982,1996,314.97143034925995
21,KY,1983,1996,322.2132902738301
21,KY,1984,1996,277.7868082998488
21,KY,1985,1996,305.52878326764005
21,KY,1986,1996,334.41514655151497
21,KY,1987,1996,337.77840686726347
21,KY,1988,1996,330.12626187431965
21,KY,1989,1996,356.9090486853542
21,KY,1990,1996,390.36213948703653
21,KY,1991,1996,437.97461396249923
21,KY,1992,1996,535.4725988182549
21,KY,1993,1996,462.6551518290299
21,KY,1994,1996,443.9769928681464
21,KY,1995,1996,364.7410190343457
21,KY,1996,1996,320.49432169182336
21,KY,1997,1996,316.93963758836605
21,KY,1998,1996,327.9726189833113
21,KY,1999,1996,308.3195665617629
21,KY,2000,1996,294.4996865788752
21,KY,2001,1996,258.3061052636934
21,KY,2002,1996,271.4299176031548
21,KY,2003,1996,248.45876816048187
21,KY,2004,1996,245.10871132340546
21,KY,2005,1996,266.8354701354421
21,KY,2006,1996,270.1093522190502
21,KY,2007,1996,290.6772526898818
21,KY,2008,1996,297.2423065642927
21,KY,2009,1996,254.97715041720818
21,KY,2010,1996,243.92585809395908
21,KY,2011,1996,239.64836583182955
21,KY,2012,1996,224.94541930283577
21,KY,2013,1996,210.92908118298456
21,KY,2014,1996,215.17842987304607
22,LA,1977,1996,524.7897085779052
22,LA,1978,1996,584.896650261728
22,LA,1979,1996,676.3287584942517
22,LA,1980,1996,664.9773622532934
22,LA,1981,1996,638.2811486769046
22,LA,1982,1996,669.0736770022384
22,LA,1983,1996,640.9192664441454
22,LA,1984,1996,677.9696842158528
22,LA,1985,1996,694.2200480660631
22,LA,1986,1996,758.2313861775951
22,LA,1987,1996,693.028371252611
22,LA,1988,1996,717.4434176941005
22,LA,1989,1996,781.7662376800689
22,LA,1990,1996,898.4418999149779
22,LA,1991,1996,951.03476775697
22,LA,1992,1996,984.5815045710059
22,LA,1993,1996,1061.6998891964774
22,LA,1994,1996,981.9001772831155
22,LA,1995,1996,1007.392993738354
22,LA,1996,1996,929.1196970207685
22,LA,1997,1996,855.8823221852331
22,LA,1998,1996,779.5149411538492
22,LA,1999,1996,732.6794528622382
22,LA,2000,1996,681.1403813959972
22,LA,2001,1996,686.2522226333093
22,LA,2002,1996,663.2869099501316
22,LA,2003,1996,636.9409556517062
